date,pre_index_level,old_portfolio_value,new_portfolio_value,divisor,n_constituents
2018-06-29,1039.5373686876699,1039713.7510309784,1039713.7510309784,1000.1696738843849,30
2018-09-28,1147.41473608609,1147524.256968277,1147524.256968277,1000.0954501269181,30
2018-12-31,1015.7608793022208,1025820.3759046498,1025820.37590465,1009.9034101503688,30
2019-03-29,1143.24910880388,1163296.1218173893,1163296.1218173893,1017.5351223623373,30
2019-06-28,1204.2878804725701,1227620.9692687907,1227620.9692687907,1019.3750092270832,30
2019-09-30,1231.866669351949,1262540.3948505912,1262540.394850591,1024.9001992356677,30
2019-12-31,1296.4010788827236,1330913.168846969,1330913.1688469688,1026.6214603847666,30
2020-03-31,1110.5076571063187,1112729.735436502,1112729.735436502,1002.0009572342557,30
2020-06-30,1314.5557000670135,1338604.734915862,1338604.7349158619,1018.2944205769465,30
2020-09-30,1451.4111789969245,1494991.3381927405,1494991.3381927402,1030.026060034851,30
2020-12-31,1564.6909928847217,1627931.6713201927,1627931.671320193,1040.4173595445056,30
2021-03-31,1608.2860435439572,1685058.7981640494,1685058.7981640496,1047.7357587776605,30
2021-06-30,1756.546727693125,1843110.1077489634,1843110.1077489632,1049.2804311386137,30
2021-09-30,1811.093335371193,1871492.126702247,1871492.126702247,1033.3493532064017,30
2021-12-31,2077.349391245105,2145183.74355867,2145183.743558669,1032.6542817493528,30
2022-03-31,2055.532898017565,2090234.654666849,2090234.6546668485,1016.8821217518587,30
2022-06-30,1913.0148069851848,1939805.2457827034,1939805.2457827034,1014.0043028938908,30
2022-09-30,1815.522985538913,1810497.3676425319,1810497.367642532,997.2318621485869,30
2022-12-30,2123.4765179406404,2112310.583198543,2112310.583198543,994.7416726072743,30
2023-03-31,2092.6995895952596,2100631.823767151,2100631.823767151,1003.7904313697628,30
2023-06-30,2154.986494626232,2182370.8628448853,2182370.862844885,1012.70744308001,30
2023-09-29,2127.419598958942,2140866.81804365,2140866.8180436497,1006.3209058952394,30
2023-12-29,2339.47939297972,2351906.544015374,2351906.544015374,1005.3119301127188,30
